iter	RMSE
0	0.008519006818
1	0.008256245339
2	0.008009739845
3	0.007781872193
4	0.007568235555
5	0.007370302813
6	0.007186403348
7	0.007014972486
8	0.00685680354
9	0.006709128074
10	0.006573583158
11	0.006447217922
12	0.006330886439
13	0.006222601716
14	0.006122748986
15	0.006029794061
16	0.005945154549
17	0.005865104228
18	0.005793623975
19	0.005725664235
20	0.00566522345
21	0.005605293314
22	0.005547231839
23	0.005495733177
24	0.005445280951
25	0.005403657258
26	0.005359197665
27	0.005318102348
28	0.005279267517
29	0.005247756713
30	0.005216772183
31	0.005189523546
32	0.005160118777
33	0.005135652679
34	0.005111133554
35	0.005082794289
36	0.005062683128
37	0.005043290987
38	0.005020029505
39	0.004998252538
40	0.004980824989
41	0.004961339031
42	0.004943768155
43	0.00492919395
44	0.004914277708
45	0.00490113946
46	0.004889494047
47	0.004872330164
48	0.004857183621
49	0.004843866312
50	0.004833554456
51	0.004821211616
52	0.004809549876
53	0.004800792134
54	0.004785634107
55	0.004771657286
56	0.004764096792
57	0.00475647464
58	0.004744028511
59	0.00473346056
60	0.004725982872
61	0.004719318755
62	0.004711096811
63	0.004693665754
64	0.004679967537
65	0.00467203166
66	0.004657388276
67	0.004650158513
68	0.004644215261
69	0.004637267471
70	0.004631037523
71	0.004627053061
72	0.004622402102
73	0.004610995662
74	0.004607170789
75	0.00460175337
76	0.00459034705
77	0.004583850328
78	0.004578955862
79	0.004574656651
80	0.004569393332
81	0.004564838889
82	0.00455494504
83	0.004549956283
84	0.004545669335
85	0.004536266862
86	0.004532284228
87	0.004529425608
88	0.004524815836
89	0.004519568028
90	0.004515633985
91	0.004508867449
92	0.004505066513
93	0.004501699942
94	0.004498048012
95	0.004493723895
96	0.004489653928
97	0.004485243756
98	0.004480669136
99	0.004476743558
100	0.00447452312
101	0.004469938698
102	0.004462312495
103	0.004458590635
104	0.004455509961
105	0.00445069076
106	0.00444699281
107	0.004445070743
108	0.004443065297
109	0.004438341643
110	0.004432394819
111	0.004429072821
112	0.004426033887
113	0.004423519573
114	0.004418189373
115	0.004416487501
116	0.004413548175
117	0.004409750461
118	0.004406041762
119	0.004402334375
120	0.004400570503
121	0.004397834996
122	0.004394510157
123	0.004390935169
124	0.004387831524
125	0.004384375322
126	0.004381186163
127	0.004378447661
128	0.004376003644
129	0.00437464534
130	0.004372075449
131	0.004370598506
132	0.004366920822
133	0.004364747912
134	0.004362871969
135	0.004360481762
136	0.004358261469
137	0.004355000337
138	0.004353298041
139	0.00434898158
140	0.004345529055
141	0.004343488532
142	0.004340875088
143	0.004338407024
144	0.004336573541
145	0.004334357533
146	0.004332767677
147	0.004329095383
148	0.004327005509
149	0.004325523009
150	0.004322532566
151	0.004319223678
152	0.004317766955
153	0.004315665172
154	0.004311713744
155	0.004308838695
156	0.004305525424
157	0.004303451999
158	0.004301058923
159	0.004299858064
160	0.004297206737
161	0.004296069456
162	0.00429270705
163	0.004289400533
164	0.004288054039
165	0.004287215639
166	0.004286031747
167	0.00428389785
168	0.004281697233
169	0.004279442792
170	0.004276323801
171	0.004273560762
172	0.004271744341
173	0.004270974062
174	0.004268256371
175	0.004267514394
176	0.004266230901
177	0.004263954318
178	0.004263332361
179	0.004260689244
180	0.004258401044
181	0.004255145616
182	0.004253451453
183	0.004251586343
184	0.004248743947
185	0.004247975027
186	0.004246902521
187	0.004245939134
188	0.004243141299
189	0.004241354579
190	0.004239347579
191	0.004237367405
192	0.004235933812
193	0.00423504546
194	0.004233764154
195	0.004232144321
196	0.004230710441
197	0.004229053185
198	0.004225280956
199	0.004223537098
200	0.004221552889
201	0.004219567388
202	0.004218091584
203	0.004216956685
204	0.004214252656
205	0.004213129479
206	0.004210507242
207	0.00420823319
208	0.004206842861
209	0.004205550049
210	0.004202831364
211	0.004200478418
212	0.004199066334
213	0.00419813139
214	0.004196977872
215	0.004195845502
216	0.004193362694
217	0.004192502651
218	0.004191285806
219	0.004190252145
220	0.004188156713
221	0.004187088218
222	0.004186409016
223	0.004184274695
224	0.004183413255
225	0.00418187417
226	0.004179687007
227	0.00417871409
228	0.004177766925
229	0.004176464669
230	0.004175447623
231	0.004173945128
232	0.004173184706
233	0.004172769115
234	0.004170771574
235	0.004168879593
236	0.004166733348
237	0.004165157757
238	0.004164188208
239	0.004163182054
240	0.004162141408
241	0.004161438628
242	0.004159871039
243	0.00415888691
244	0.004157949591
